Parameter Settings																																
LaCyTools Version	2.0.1																															
LaCyTools Build	20201216																															
Calibration Parameters																																
CALIB_MASS_WINDOW	0.2																															
CALIB_S_N_CUTOFF	27																															
CALIB_MIN_PEAK	4																															
Extraction Parameters																																
SUM_SPECTRUM_RESOLUTION	100																															
MASS_WINDOW	0.1																															
TIME_WINDOW	10																															
MIN_CHARGE	2																															
MAX_CHARGE	3																															
MIN_TOTAL	0.9																															
BACKGROUND_WINDOW	10																															
																																
Absolute Intensity (Background Subtracted, 2+)	IgGI1H5N2	IgGI1H6N2	IgGI1H5N3	IgGI1H5N3F1	IgGI1H6N3	IgGI1H6N3F1	IgGI1H3N3	IgGI1H3N3F1	IgGI1H4N3	IgGI1H4N3F1	IgGI1H3N4	IgGI1H3N4F1	IgGI1H4N4	IgGI1H4N4F1	IgGI1H3N5	IgGI1H3N5F1	IgGI1H5N4	IgGI1H5N4F1	IgGI1H4N5	IgGI1H4N5F1	IgGI1H5N5	IgGI1H5N5F1	IgGI1H4N4F1S1	IgGI1H4N5F1S1	IgGI1H4N4S1	IgGI1H5N4S1	IgGI1H5N4F1S1	IgGI1H4N5S1	IgGI1H5N5S1	IgGI1H5N5F1S1	IgGI1H5N4S2	IgGI1H5N4F1S2
2022GLY00123IM5_Plate1_B09_01 20220624_000034.raw	200962.8334	41116.86841	1801.171895	65064.69683	10296.28879	55153.35733	21037.48885	137448.4613	9227.819787	72520.88937	81646.78378	9501029.321	91447.87483	8194449.676		681005.8139	74681.66067	2942054.819	5381.396522	902789.9752	7478.194738	276735.2149	133696.4627	28680.7843	162115.9419	191656.8534	322295.4345	20405.98274	5152.203258	152328.3564	27590.78161	56265.87663
2022GLY00123IM5_Plate1_B10_01 20220624_000035.raw	65475.09656	6169.604879	51319.65935	4495.178737	21871.44088	2148.410849	87532.4073	8118.52164	46968.59045	3554.797574	5194304.034	572731.6818	1978280.324	408449.4718	150693.3252	17025.73968	253521.7098	94805.43242	80180.58922	21373.85753	12967.36434	2805.595653	6412.050893	1808.288424	32398.55595	24470.32583	10239.37363	3221.528051	921.3375945	1968.546538	5602.602485	1962.549825
2022GLY00123IM5_Plate1_B11_01 20220624_000036.raw	235013.9462	28785.78472	34095.39403	140970.6931	19346.36889	59342.08756	28658.10367	366856.6036	21488.48706	116066.0641	73425.74955	11782675.66	105800.6563	5038229.718		318863.9469	43041.15287	893880.4717	3342.692652	251591.2918	3012.407157	207027.3351	69925.12331	7692.573009	116549.0211	53331.89837	80610.36908	5024.318884	605.6123351	23985.1282	8990.957363	15084.37356
2022GLY00123IM5_Plate1_B12_01 20220624_000037.raw	178911.6391	17205.94399	132632.1015	10786.93901	46930.90226	4446.049631	200594.2178	18550.18251	104204.3881	7766.333559	8275402.202	1040527.564	2740500.523	715941.1096	167171.2129	23847.22063	331165.8881	154596.3292	100342.4905	30615.41834	19515.6592	3564.980877	8822.524423	2660.948004	39254.32009	30569.457	13646.34657	3208.176859	1051.099321	2687.22543	6616.524943	3577.831944
2022GLY00123IM5_Plate1_C01_01 20220624_000039.raw																																
2022GLY00123IM5_Plate1_C02_01 20220624_000040.raw	59.72252998	2071.099306	1867.105534	442.1079628	3548.178722	658.2850686	341.6093704	1344.740996	348.4608275	1184.904934	17736.52911	25911.24669	3935.952749	24571.98647	2319.527705	1194.117162	1525.872855	9950.369371	4085.644948	3175.836346	1782.007578	1675.047795	2511.145887	1232.126322	712.1278631	915.7562116	2879.832841	1288.203541	815.0345038	1709.798858	629.1579129	597.2293933
2022GLY00123IM5_Plate1_C03_01 20220624_000041.raw	156.9958588	2078.285874	1421.474106	358.9932947	3649.480275	656.9106609	241.7110862	1358.88867	381.9086379	1104.752531	15535.83854	22796.97137	3689.734873	24948.78786	2356.453139	1497.548218	1190.434061	11778.90723	3916.48302	3847.48674	1781.027487	1726.852778	2301.112489	1074.252366	569.8205978	1077.022243	3824.40679	1320.324963	582.791102	1552.691935	810.4247936	477.5181587
																																
Background (2+)2+)	IgGI1H5N2	IgGI1H6N2	IgGI1H5N3	IgGI1H5N3F1	IgGI1H6N3	IgGI1H6N3F1	IgGI1H3N3	IgGI1H3N3F1	IgGI1H4N3	IgGI1H4N3F1	IgGI1H3N4	IgGI1H3N4F1	IgGI1H4N4	IgGI1H4N4F1	IgGI1H3N5	IgGI1H3N5F1	IgGI1H5N4	IgGI1H5N4F1	IgGI1H4N5	IgGI1H4N5F1	IgGI1H5N5	IgGI1H5N5F1	IgGI1H4N4F1S1	IgGI1H4N5F1S1	IgGI1H4N4S1	IgGI1H5N4S1	IgGI1H5N4F1S1	IgGI1H4N5S1	IgGI1H5N5S1	IgGI1H5N5F1S1	IgGI1H5N4S2	IgGI1H5N4F1S2
Fraction	0.938933776	0.928146882	0.925198342	0.91415346	0.913367405	0.901596099	0.946424193	0.936942312	0.936229661	0.925949367	0.933453672	0.922941934	0.922179356	0.910911253	0.919090187	0.907600778	0.91011456	0.962305248	0.906793692	0.960660177	0.960210759	0.953814889	0.957089849	0.947962401	0.96321064	0.956622851	0.949921781	0.954828344	0.947453024	0.940008658	0.943282946	0.935537795
Exact mass of most abundant isotopologue	[1203.9726161653891]	[1284.9990374667855]	[1305.5123056025184]	[1378.5412685724175]	[1386.5387260448579]	[1459.567688155043]	[1143.459461458386]	[1216.488426639768]	[1224.4858841373211]	[1297.5148481183746]	[1244.999152393576]	[1318.0281165180265]	[1326.02557400047]	[1399.0545371187573]	[1346.5388426448847]	[1419.5678058935518]	[1407.0519945897695]	[1480.0809568497966]	[1427.5652633631255]	[1500.5942257566583]	[1508.5916832163723]	[1581.6206448725472]	[1544.6022514818471]	[1646.14193955238]	[1471.5732894678354]	[1552.5997089370617]	[1625.6286702643677]	[1573.1129781043744]	[1654.139396998329]	[1727.1683578475408]	[1698.1474222980485]	[1771.176382877912]
2022GLY00123IM5_Plate1_B01_01 20220624_000026.raw	7841.486078	5288.533179	15464.69431	16387.11266	18763.45593	7031.025774	7377.05587	6700.046699	4396.146833	15874.69778	4599.967679	31647.61464	8853.015757	23246.83022	12719.5582	11595.90301	9883.236839	9004.374487	12356.24546	5924.60569	5686.528472	3821.021612	5371.784796	2623.954099	11216.93135	4661.353475	2909.071234	3146.732903	2519.5754	2267.054067	2364.794299	2180.712613
2022GLY00123IM5_Plate1_B02_01 20220624_000027.raw	7490.716599	18536.29673	14611.80891	9759.832696	11430.99033	5060.964004	7960.381037	6464.003228	9584.927775	15465.14683	34436.55529	55247.23607	22079.91132	15614.57471	12893.71458	6859.332255	8592.735918	6221.318628	6311.1088	4604.048993	4827.50373	3280.688448	5011.432587	2174.197639	6648.977171	3775.746133	2465.234398	3557.925317	2301.454214	1859.775026	2075.09319	1728.953979
2022GLY00123IM5_Plate1_B03_01 20220624_000028.raw	4752.13901	4606.611763	12078.26292	9820.926963	8902.940498	4636.222694	4904.620377	5281.331572	3924.981863	10922.3758	4032.92579	26789.3558	7672.365344	11693.56436	7620.269056	5991.723226	6401.082241	5029.631062	6422.523222	4080.192521	3692.664143	2844.973452	3603.393587	2105.872153	5559.357436	3331.601802	2254.329365	2721.281566	1949.697864	1664.780344	1968.947395	1941.274779
2022GLY00123IM5_Plate1_B04_01 20220624_000029.raw	6144.868411	13393.68452	14614.0773	11077.91842	13825.10171	5777.481093	8902.587377	5953.27881	7959.404065	14534.78885	27429.92836	74118.36398	19817.36705	22216.36745	14244.12581	8883.41525	9521.26758	7026.060548	7402.828347	5214.414461	5354.243236	3953.386688	5262.884812	2612.252068	7242.738627	5124.044543	2843.105739	3850.055325	2410.381769	2024.105899	2276.916734	2190.00398
2022GLY00123IM5_Plate1_B05_01 20220624_000030.raw	6657.156277	7337.532947	14293.47471	8728.944293	12368.58875	5555.640994	6339.442504	7740.992574	5888.204068	8881.214735	5254.50049	26867.2715	9112.117556	20391.51718	11995.93703	8202.635028	9165.864223	8650.88706	7005.561347	5565.715372	5973.513689	4454.92288	4819.825519	3966.816636	8983.140172	5135.421029	3992.127865	4307.316946	3482.067325	3117.503248	3071.137075	3049.130252
2022GLY00123IM5_Plate1_B06_01 20220624_000031.raw	3360.000447	3042.899917	3169.548449	3681.559495	3447.323343	2875.550326	3159.155571	2881.948597	2616.921134	4287.636182	3396.928333	5256.236925	3772.98813	3437.253485	3434.120835	3279.618017	3372.580662	3412.214815	3004.612932	2946.30333	2816.424497	2108.231318	2634.039951	1643.299294	4006.860909	2726.014055	1934.949235	2280.366589	1716.89436	1488.854078	1560.214603	1666.856463
2022GLY00123IM5_Plate1_B07_01 20220624_000032.raw	6480.191281	6395.239204	22937.84017	13251.76096	13724.33905	6029.877212	7409.711177	6912.498613	4881.086215	15827.97406	4430.936946	50488.07766	11761.88721	18628.67527	14430.52874	7674.211484	8873.517409	7161.822259	8113.990307	6060.313715	5134.688127	3974.017722	5239.946027	2721.289709	8261.969589	4866.503555	3222.512366	3450.835779	2626.129073	2189.905305	2477.966878	2690.304746
2022GLY00123IM5_Plate1_B08_01 20220624_000033.raw	3648.082839	3567.985345	4132.061353	4509.752884	4008.570012	3135.152538	3932.850431	3443.488123	3042.251886	4770.831233	6367.730374	7912.707828	5612.804993	4132.197621	4110.370053	3569.445151	3722.742909	3633.459643	3243.253863	3213.560271	3043.120555	2188.821804	2867.377342	1711.283791	4069.896491	2780.617135	1914.961545	2509.43756	1838.9401	1570.67925	1569.661717	1687.172194
2022GLY00123IM5_Plate1_B09_01 20220624_000034.raw	7638.905226	5393.693293	13782.00796	14611.63766	16997.26328	7540.597336	8083.180631	6706.241173	4825.381871	13407.06788	4604.866337	30080.44301	9060.362764	26500.84386	11350.40546	11753.38229	11453.90083	10794.75512	11946.32537	6628.926986	6500.647388	4126.028349	5745.563053	3037.850092	12248.29207	5192.705184	3266.909986	3846.491553	2874.851006	2548.38771	2684.168488	2531.984208
2022GLY00123IM5_Plate1_B10_01 20220624_000035.raw	3878.893392	4474.180745	5278.930911	4986.948017	4390.43233	3129.778695	4258.644649	3672.68274	4112.073049	5183.277035	10899.61945	10210.53376	7097.49396	4600.44483	4567.499628	4043.741573	4233.441128	3979.031728	3770.149007	3547.93834	3356.09234	2579.609719	3412.982078	1815.479793	4453.470026	3030.646886	2136.85447	2722.155557	2087.874911	1601.936558	1847.007977	1530.776979
2022GLY00123IM5_Plate1_B11_01 20220624_000036.raw	6019.120431	5219.73538	15838.14184	10917.18853	10855.4475	4792.779639	5167.30696	5955.089987	4277.16828	14172.76008	3816.569408	33701.33191	8989.228139	13827.10228	10123.14417	6356.693864	6852.272654	5826.854983	7132.161954	4614.656558	4150.960715	3035.769664	4026.683729	2250.264205	6375.152644	3735.513164	2766.425104	2945.824475	2342.569414	1765.189799	2083.923159	1920.90254
2022GLY00123IM5_Plate1_B12_01 20220624_000037.raw	5258.427011	6780.172842	8158.498436	5863.94818	5508.457819	3563.307445	5599.668879	5125.177049	6088.255805	8078.16399	20011.70084	17073.59023	9301.334362	5706.009052	6176.273194	4577.1863	4676.307987	4554.392834	4223.104054	3776.769085	3580.707842	2766.342086	3883.546213	2026.299137	4703.513997	3130.384147	2075.119769	2860.502716	2136.518586	1726.976515	1951.737173	1803.734906
2022GLY00123IM5_Plate1_C01_01 20220624_000039.raw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
